"run","experiment","metric_AUC","AUC_val","AUC_train","nr_params","avg_epoch_time","nr_flops","training_time_min","date","duration","model_config.train_data_file","tags","train_loss","val_loss","model_config.batch_size","model_config.dim_embedding_tissue","model_config.dim_embedding_token","model_config.dropout","model_config.epochs","model_config.gpu_id","model_config.hidden_size","model_config.model","model_config.num_workers","model_config.optimizer.lr","model_config.optimizer.name","model_config.save_freq","model_config.seed","model_config.val_freq","model_config.warmup","hash","checkpoint_stored","early_stopping","training_successful","model_config.binary_class","model_config.dev","model_config.early_stopper_delta","model_config.early_stopper_patience","model_config.frequency_features","model_config.optimizer.weight_decay","model_config.tissue_id","val_neg_auc","model_config.activation","model_config.bias","model_config.bidirectional","model_config.block_sizes","model_config.bn_momentum","model_config.conv1d_kernel_size","model_config.d_conv","model_config.d_state","model_config.dim_feedforward","model_config.expand","model_config.filter_len_conv1","model_config.filter_len_conv2","model_config.filter_per_group","model_config.final_ch","model_config.headdim","model_config.kernel_size","model_config.max_pool1","model_config.max_pool2","model_config.num_blocks","model_config.num_filters_conv1","model_config.num_filters_conv2","model_config.num_heads","model_config.num_layers","model_config.optimizer.momentum","model_config.padding","model_config.predictor_dropout","model_config.predictor_hidden_dim","model_config.resize_factor","model_config.rnn_hidden_size","model_config.se_reduction","model_config.slstm_at","model_config.stride_conv1","model_config.stride_conv2","train_neg_auc","best_epoch","R2_train","R2_val","model_config.kernel_size_conv1","model_config.kernel_size_conv2","model_config.m_qkv_proj_blocksize","model_config.num_kernels_conv1","model_config.num_kernels_conv2","model_config.optuna.n_startup_trials","model_config.optuna.n_trials","model_config.optuna.storage","model_config.optuna.study_name","model_config.optuna.timeout","model_config.param_tune","model_config.random_reverse","model_config.s_act_fn","model_config.s_proj_factor","model_config.val_fraction"
"Run: 36c654e004a045d4ab68ea97","binary/cnn/7_cnn_fold-2","-","0.68684176","0.71735662","111537","0.04166316","29872","0.7916","12:07:13 · 06 Dec, 24","1min 53sec","""codon_train_2.7k_data.pkl""","","0.58535536","0.67173849","64","64","64","""-""","200","1","""-""","""cnn""","1","0.001","""adam""","1","2024","1","0","36c654e004a045d4ab68ea97","1","1","1","True","False","0.01","5","False","""-""","-1","-0.65823157","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","20","5","""-""","""-""","""-""","""-""","""-""","""-""","""same""","0.1","64","""-""","""-""","""-""","""-""","1","1","-0.75106745","19","-","-","15","15","""-""","64","16","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_3""","86400","""-""","True","""-""","""-""","0.15"
"Run: 19a98fb1c21142b9ab7ea07e","binary/cnn/7_cnn_fold-1","-","0.67195748","0.70966446","111537","0.04143529","29872","0.7044","12:05:17 · 06 Dec, 24","1min 56sec","""codon_train_2.7k_data.pkl""","","0.56432752","0.7009487","64","64","64","""-""","200","1","""-""","""cnn""","1","0.001","""adam""","1","2024","1","0","19a98fb1c21142b9ab7ea07e","1","1","1","True","False","0.01","5","False","""-""","-1","-0.6553158","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","20","5","""-""","""-""","""-""","""-""","""-""","""-""","""same""","0.1","64","""-""","""-""","""-""","""-""","1","1","-0.77098416","17","-","-","15","15","""-""","64","16","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_3""","86400","""-""","True","""-""","""-""","0.15"
"Run: 4459936feaf043ad90323e0a","binary/cnn/7_cnn_fold-0","-","0.67930897","0.69952241","111537","0.04389167","29872","0.5267","12:03:35 · 06 Dec, 24","1min 41sec","""codon_train_2.7k_data.pkl""","","0.58358848","0.68040273","64","64","64","""-""","200","1","""-""","""cnn""","1","0.001","""adam""","1","2024","1","0","4459936feaf043ad90323e0a","1","1","1","True","False","0.01","5","False","""-""","-1","-0.64792358","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","20","5","""-""","""-""","""-""","""-""","""-""","""-""","""same""","0.1","64","""-""","""-""","""-""","""-""","1","1","-0.7585346","12","-","-","15","15","""-""","64","16","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_3""","86400","""-""","True","""-""","""-""","0.15"
"Run: ef47d5bcbfb24901a3ab7def","binary/xlstm/3_xlstm_fold-2","-","0.67084799","0.70649149","90177","1.2568275","3392570704","100.5462","19:09:48 · 05 Dec, 24","1hrs 50min","""codon_train_2.7k_data.pkl""","[object Object]","0.61701249","0.67099394","64","32","32","0.5","100","0","""-""","""xlstm""","1","0.0001","""adam""","1","2024","1","0","ef47d5bcbfb24901a3ab7def","1","1","1","True","False","0.01","5","False","""-""","-1","-0.6604237","""-""","True","""-""","""-""","""-""","4","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","9","""-""","""-""","2","""-""","""-""","""-""","0.1","64","""-""","""-""","""-""","[1]","""-""","""-""","-0.72005004","80","-","-","""-""","""-""","8","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""gelu""","2","0.15"
"Run: 058bccaa0eb24e979319cd83","binary/xlstm/3_xlstm_fold-1","-","0.66737519","0.70079286","90177","1.25717273","3392570704","69.1445","17:41:04 · 05 Dec, 24","1hrs 28min","""codon_train_2.7k_data.pkl""","[object Object]","0.62310064","0.67270969","64","32","32","0.5","100","0","""-""","""xlstm""","1","0.0001","""adam""","1","2024","1","0","058bccaa0eb24e979319cd83","1","1","1","True","False","0.01","5","False","""-""","-1","-0.65229861","""-""","True","""-""","""-""","""-""","4","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","9","""-""","""-""","2","""-""","""-""","""-""","0.1","64","""-""","""-""","""-""","[1]","""-""","""-""","-0.71079698","55","-","-","""-""","""-""","8","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""gelu""","2","0.15"
"Run: 6e0b49d07d944fb689e417d3","binary/xlstm/3_xlstm_fold-0","-","0.67196134","0.71099983","90177","1.25055765","3392570704","106.2974","15:35:01 · 05 Dec, 24","2hrs 6min","""codon_train_2.7k_data.pkl""","[object Object]","0.60956373","0.66759118","64","32","32","0.5","100","0","""-""","""xlstm""","1","0.0001","""adam""","1","2024","1","0","6e0b49d07d944fb689e417d3","1","-","1","True","False","0.01","5","False","""-""","-1","-0.66374799","""-""","True","""-""","""-""","""-""","4","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","9","""-""","""-""","2","""-""","""-""","""-""","0.1","64","""-""","""-""","""-""","[1]","""-""","""-""","-0.72981775","85","-","-","""-""","""-""","8","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""gelu""","2","0.15"
"Run: 454ebe7891c144fe9ce2ac1c","binary/LEGnet/7_LEGnet_fold-2","-","0.68805667","0.69817799","3364685","0.31950588","136815770","16.2948","15:07:13 · 05 Dec, 24","27min 35sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61851793","0.65149981","64","64","64","""-""","100","0","""-""","""LEGnet""","1","0.001","""adam""","1","2024","1","0","454ebe7891c144fe9ce2ac1c","1","1","1","True","False","0.01","5","False","""-""","-1","-0.6720258","""gelu""","""-""","""-""","[256, 256, 128, 128, 64, 64, 32, 32]","0.1","""-""","""-""","""-""","""-""","""-""","""-""","""-""","1","18","""-""","9","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.1","64","2","""-""","4","""-""","""-""","""-""","-0.71737183","51","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 18453acb08f748228906e895","binary/transformer/2_transformer_fold-2","-","0.67137791","0.69352899","610305","0.29626923","1614129280","11.5545","15:03:06 · 05 Dec, 24","20min 52sec","""codon_train_2.7k_data.pkl""","[object Object]","0.59008733","0.67330985","64","64","64","0.2","100","1","""-""","""transformer""","1","0.0001","""adam""","1","2024","1","0","18453acb08f748228906e895","1","1","1","True","False","0.01","5","False","0.1","-1","-0.66079085","""gelu""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","256","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","12","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-0.74983348","39","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: 78538a2dcdd9432d83a33faa","binary/LEGnet/7_LEGnet_fold-1","-","0.68132309","0.70575442","3364685","0.32006486","136815770","11.8424","14:52:42 · 05 Dec, 24","14min 30sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61930202","0.64989146","64","64","64","""-""","100","0","""-""","""LEGnet""","1","0.001","""adam""","1","2024","1","0","78538a2dcdd9432d83a33faa","1","1","1","True","False","0.01","5","False","""-""","-1","-0.67017101","""gelu""","""-""","""-""","[256, 256, 128, 128, 64, 64, 32, 32]","0.1","""-""","""-""","""-""","""-""","""-""","""-""","""-""","1","18","""-""","9","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","0.1","64","2","""-""","4","""-""","""-""","""-""","-0.71358346","37","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
"Run: d512ad49dd824633b94ba7ee","binary/transformer/2_transformer_fold-1","-","0.67145252","0.69118834","610305","0.29447826","1614129280","6.773","14:50:17 · 05 Dec, 24","12min 47sec","""codon_train_2.7k_data.pkl""","[object Object]","0.61499405","0.66579504","64","64","64","0.2","100","1","""-""","""transformer""","1","0.0001","""adam""","1","2024","1","0","d512ad49dd824633b94ba7ee","1","1","1","True","False","0.01","5","False","0.1","-1","-0.65660508","""gelu""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","256","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","""-""","2","12","""-""","""-""","0.1","64","""-""","""-""","""-""","""-""","""-""","""-""","-0.72095272","23","-","-","""-""","""-""","""-""","""-""","""-""","10","150","""sqlite:////export/share/krausef99dm/tuning_dbs/""","""codon_X""","86400","""-""","True","""-""","""-""","0.15"
